기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
1998	동작구	145,440	425,942	214,410	211,532	424,636	213,756	210,880	1,306	654	652	26,051	16.35	2.93	21,716
1998	관악구	181,105	526,742	267,808	258,934	525,729	267,308	258,421	1,013	500	513	17,819	29.56	2.91	22,637
1998	서초구	137,470	404,765	200,242	204,523	401,179	198,363	202,816	3,586	1,879	1,707	8,586	47.14	2.94	18,884
1998	강남구	188,690	554,858	273,673	281,185	550,387	271,238	279,149	4,471	2,435	2,036	14,029	39.55	2.94	25,429
1998	송파구	220,138	671,406	334,022	337,384	668,879	332,700	336,179	2,527	1,322	1,205	19,811	33.89	3.05	28,905
1998	강동구	157,825	489,544	246,745	242,799	488,585	246,330	242,255	959	415	544	19,916	24.58	3.1	21,389
1999	합계	3,490,616	10,321,449	5,170,662	5,150,787	10,264,260	5,141,141	5,123,119	57,189	29,521	27,668	17,046	605.52	2.94	530,190
1999	종로구	69,581	188,865	94,763	94,102	186,590	93,539	93,051	2,275	1,224	1,051	7,899	23.91	2.68	13,988
1999	중구	47,969	129,061	64,853	64,208	126,254	63,217	63,037	2,807	1,636	1,171	12,945	9.97	2.63	9,666
1999	용산구	88,684	245,716	122,288	123,428	237,489	117,775	119,714	8,227	4,513	3,714	11,235	21.87	2.68	17,267
1999	성동구	117,701	340,704	172,208	168,496	339,175	171,322	167,853	1,529	886	643	20,232	16.84	2.88	18,142
1999	광진구	136,023	391,705	197,014	194,691	390,061	196,237	193,824	1,644	777	867	22,974	17.05	2.87	17,236
1999	동대문구	130,678	368,368	186,801	181,567	367,025	186,167	180,858	1,343	634	709	25,923	14.21	2.81	21,711
1999	중랑구	152,485	462,434	232,430	230,004	461,737	232,135	229,602	697	295	402	24,983	18.51	3.03	21,227
1999	성북구	162,442	475,466	239,028	236,438	472,929	237,767	235,162	2,537	1,261	1,276	19,367	24.55	2.91	28,302
1999	강북구	116,512	352,851	176,210	176,641	352,142	175,918	176,224	709	292	417	14,945	23.61	3.02	19,163
1999	도봉구	119,418	376,133	188,468	187,665	375,275	188,130	187,145	858	338	520	18,066	20.82	3.14	18,735
1999	노원구	195,469	618,771	306,562	312,209	617,500	305,940	311,560	1,271	622	649	17,455	35.45	3.16	32,524
1999	은평구	158,681	473,716	235,465	238,251	472,464	234,867	237,597	1,252	598	654	15,939	29.72	2.98	25,967
1999	서대문구	129,403	371,240	184,227	187,013	365,783	181,484	184,299	5,457	2,743	2,714	21,093	17.6	2.83	22,304
1999	마포구	140,081	387,701	192,266	195,435	385,114	190,912	194,202	2,587	1,354	1,233	16,242	23.87	2.75	23,017
1999	양천구	152,133	481,622	242,592	239,030	480,313	241,943	238,370	1,309	649	660	27,664	17.41	3.16	21,811
1999	강서구	171,724	521,284	259,385	261,899	519,786	258,623	261,163	1,498	762	736	12,594	41.39	3.03	25,811
1999	구로구	132,543	396,644	202,103	194,541	395,294	201,438	193,856	1,350	665	685	19,724	20.11	2.98	17,243
1999	금천구	91,493	270,458	138,340	132,118	268,629	137,454	131,175	1,829	886	943	20,804	13	2.94	11,299
1999	영등포구	141,023	407,176	206,215	200,961	404,306	204,616	199,690	2,870	1,599	1,271	16,579	24.56	2.87	20,686
1999	동작구	143,849	420,564	211,425	209,139	419,161	210,761	208,400	1,403	664	739	25,723	16.35	2.91	22,801
1999	관악구	181,196	518,774	263,927	254,847	517,552	263,353	254,199	1,222	574	648	17,550	29.56	2.86	23,496
1999	서초구	138,329	404,961	199,979	204,982	400,950	197,873	203,077	4,011	2,106	1,905	8,591	47.14	2.9	19,546
1999	강남구	192,164	557,257	274,013	283,244	552,293	271,269	281,024	4,964	2,744	2,220	14,090	39.55	2.87	26,431
1999	송파구	221,483	668,421	332,246	336,175	665,918	330,971	334,947	2,503	1,275	1,228	19,723	33.89	3.01	29,611
